"File","Line","Tag","Id","Class","IdRaw","ClassRaw","Snippet"
"app\components\ui\AppSpace.tsx","40","Space","","","","","* <Space size=""middle""><Button>One</Button><Button>Two</Button></Space>"
"app\components\ui\AppSwitch.tsx","98","button","","","","","<button"
"app\components\ui\AppSwitch.tsx","100","","","","","","type=""button"""
"app\components\ui\AppTable.tsx","380","button","","","","","<button"
"app\components\ui\AppTable.tsx","393","button","","","","","<button"
"app\components\ui\AppTable.tsx","431","button","","","","","<button"
"app\components\ui\AppTable.tsx","463","button","","","","","<button"
"app\components\ui\AppTable.tsx","488","button","","","","","<button"
"app\components\ui\AppTable.tsx","907","button","","","","","<button"
"app\components\ui\AppTag.tsx","151","button","","","","","<button"
"app\components\ui\AppTag.tsx","152","","","","","","type=""button"""
"app\components\ui\AppUpload.tsx","10","Button","","","","","*   <Button icon={<UploadIcon />}>Click to Upload</Button>"
"app\components\ui\AppUpload.tsx","260","button","","","","","<button"
"app\components\ui\AppUpload.tsx","261","","","","","","type=""button"""
"app\components\ui\AppUpload.tsx","303","button","","","","","<button"
"app\components\ui\AppUpload.tsx","304","","","","","","type=""button"""
"app\components\ui\AppUpload.tsx","336","button","","","","","<button"
"app\components\ui\AppUpload.tsx","337","","","","","","type=""button"""
"app\components\ui\calendar.tsx","167","button","","","","","<button"
"app\components\ui\calendar.tsx","168","","","","","","type=""button"""
"app\components\ui\CourseDrawer.tsx","218","button","","","","","<button"
"app\components\ui\CourseDrawer.tsx","219","","","","","","type=""button"""
"app\components\ui\Tooltip\index.tsx","47","Tooltip","","","","","* Usage: <Tooltip title=""Help text""> <button>Hover me</button> </Tooltip>"
"app\components\ViewCard\ViewCard.tsx","51","","","","","","role=""button"""
"app\components\ViewCard\ViewCard.tsx","56","Button","","","","","<Button variant=""text"" title=""Edit"" onClick={onEdit} />"
"app\components\WFThinkDesign\Button\index.tsx","63","Button","","{expr:`primary_button ${style}","","{`primary_button","<Button className={`primary_button ${style}`} type=""default"" {...rest}>"
"app\components\WFThinkDesign\Button\index.tsx","70","Button","","","","","<Button"
"app\components\WFThinkDesign\Button\index.tsx","81","Button","","{expr:`icon_button ${style}","","{`icon_button","<Button className={`icon_button ${style}`} type=""default"" {...rest}>"
"app\e2e\components\ConfirmDetailsPopup\ConfirmDetailsPopup.tsx","86","button","","","","","<button"
"app\e2e\components\Jobs\ApplyJob\components\CandidateInfoProfile\CandidateInfoProfile.tsx","153","button","","","","","<button"
"app\e2e\components\Jobs\ApplyJob\components\PreviewScreeningQuestions\index.tsx","42","button","","","","","<button"
"app\e2e\components\Jobs\ApplyJob\components\ScreeningQuestion\Forms.tsx","66","button","","","","","<button type={""submit""} ref={refSubmit} hidden />"
"app\e2e\components\Jobs\Common\JobButton\JobButton.tsx","31","button","","{expr:buttonClasses}","","{buttonClasses}","<button className={buttonClasses} style={style} onClick={onClick}>"
"app\e2e\components\Jobs\Common\JobStatus\index.tsx","19","button","","","","","<button"
"app\e2e\components\Jobs\Common\SaveJob\index.tsx","66","button","","","","","<button style={{ all: ""unset"", cursor: ""pointer"", display: ""inline-flex"", alignItems: ""center"", justifyContent: ""center"", padding: ""8px"" }}>"
"app\e2e\components\Jobs\Common\SaveJob\index.tsx","73","button","","","","","<button style={{ all: ""unset"", cursor: ""pointer"", display: ""inline-flex"", alignItems: ""center"", justifyContent: ""center"", padding: ""8px"" }}>"
"app\e2e\components\Jobs\Common\Share\index.tsx","34","button","","","","","<button style={{ all: ""unset"", cursor: ""pointer"", display: ""inline-flex"", alignItems: ""center"", justifyContent: ""center"", padding: ""8px"", marginTop: ""5.6px"", opacity: 0.65 }}>"
"app\e2e\components\Jobs\Filters\Common\Modal2\index.tsx","93","button","","reset-btn","","""reset-btn""","<button className=""reset-btn"" disabled={selected?.length === 0} onClick={resetAll}>"
"app\e2e\components\Jobs\Filters\Common\Modal2\index.tsx","112","button","","clear-btn","","""clear-btn""","<button className=""clear-btn"" onClick={() => setSearch("""")}>Ã—</button>"
"app\e2e\components\Jobs\Filters\Common\Modal2\index.tsx","139","button","","sector-cancel-btn","","""sector-cancel-btn""","<button className=""sector-cancel-btn"" onClick={handleCancel}>"
"app\e2e\components\Jobs\Filters\Common\Modal2\index.tsx","146","button","","sector-apply-btn","","""sector-apply-btn""","<button className=""sector-apply-btn"" onClick={handleSave}>"
"app\e2e\components\Jobs\Filters\Common\TagContainer\index.tsx","26","button","","tag-close-btn","","""tag-close-btn""","<button className=""tag-close-btn"" onClick={onRemove}>"
"app\e2e\components\Jobs\Filters\DesktopFilters\FilterTags.tsx","24","button","","","","","<button"
"app\e2e\components\Jobs\Filters\MobileGeneralFilters\ActionField\FooterField.tsx","29","Button","","","","","<Button"
"app\e2e\components\Jobs\Filters\MobileGeneralFilters\ActionField\FooterField.tsx","46","Button","","","","","<Button"
"app\e2e\components\Jobs\Filters\MobileGeneralFilters\ActionField\FooterField.tsx","58","Button","","","","","<Button"
"app\e2e\components\Jobs\Filters\MobileGeneralFilters\AllFilter\Education\components\Specialisation.tsx","57","button","","clear-btn","","""clear-btn""","<button className=""clear-btn"" onClick={() => setSearch("""")}>Ã—</button>"
"app\e2e\components\Jobs\Filters\MobileGeneralFilters\AllFilter\Tabs\AllFiltersFieldTabs.tsx","69","button","","","","","<button"
"app\e2e\components\Jobs\Filters\MobileGeneralFilters\AllFilter\Tabs\AllFiltersFieldTabs.tsx","71","","","","","","type=""button"""
"app\e2e\components\Jobs\Filters\MobileSearchOverlay\index.tsx","37","button","","","","","<button"
